"sites","bb_IDM_0","bb_IDM_1","bb_IDM_2","bb_SPE_0","bb_SPE_1","bb_SPE_2","bb_GRO_0","bb_GRO_1","bb_GRO_2","hv_IDM_0","hv_IDM_1","hv_IDM_2","hv_SPE_0","hv_SPE_1","hv_SPE_2","hv_GRO_0","hv_GRO_1","hv_GRO_2","sb_IDM_0","sb_IDM_1","sb_IDM_2","sb_SPE_0","sb_SPE_1","sb_SPE_2","sb_GRO_0","sb_GRO_1","sb_GRO_2","region"
"NC0429",17,16.8610465643537,16.7142694176975,17,10.131720309457,6.31700259050475,17,16.8676653446987,16.7341755554136,79,70.4415951637245,55.8704373602421,79,68.8060177509988,59.7171628989442,79,78.5404331152392,78.0763993943238,70,69.0909366724416,68.0476362576392,70,61.9162003875281,55.4441282493664,70,69.4867645957418,68.978413151547,"SCO"
"NC2313",17,16.6235511939531,16.2717977848819,17,13.2267859415514,10.5949703656731,17,16.8974937236473,16.7936753172557,79,75.7278113001692,72.7111400611288,79,70.3212293045334,63.0875457106558,79,78.4393617071294,77.8677371227214,70,69.277066862539,68.5282741639687,70,55.4719879408489,37.7756965161783,70,69.6811909938666,69.3703282911459,"SCO"
"NC5762",17,14.703246756982,12.647921594347,17,11.5687850867213,8.0662158218455,17,16.8750661217712,16.7471681657506,79,74.8295406634566,70.1107384740015,79,70.461376684278,61.4486893272584,79,78.6162159691817,78.2428962606722,70,68.1406310876907,65.0693202782053,70,59.0385813951524,48.9185280939154,70,69.622715427238,69.2292029505163,"SCO"
"NC7158",17,16.068584251959,14.9365866400122,17,9.76604749917776,5.56863842621846,17,16.8794658587615,16.7498996176568,79,72.9141600435239,65.5678428187298,79,71.3352469702046,63.3478134545673,79,78.2545626785041,77.4717670856885,70,69.5072558512871,69.0208530629534,70,54.5428762821197,39.410097705831,70,69.5645765447843,69.1105863065809,"SCO"
"NJ0327",17,15.684248939171,14.3168733931246,17,11.0026046972044,7.27140580855691,17,16.9259101983548,16.8518812799608,79,63.2763345984847,39.4910891886011,79,61.9583401696417,41.4719602616019,79,78.3903640563607,77.8047438618497,70,59.9104479189368,40.1664621090015,70,55.9528419826144,39.1646547066835,70,69.5146938475745,69.0038831211385,"SCO"
"NJ6415",17,11.1915029865222,6.66131868013141,17,4.34487874447204,2.16902483169012,17,16.883544977502,16.7714445622543,79,74.2827893641152,70.6712717496093,79,69.3484266441799,60.6810769252219,79,78.4782646763485,77.9627046779893,70,68.6072497133071,66.7720651077195,70,61.0915869748822,53.5345585718758,70,69.6399364170707,69.27605003638,"SCO"
"NJ7638",17,15.6414785889109,14.1545581773057,17,13.997515259864,12.4423735345427,17,16.8789129511995,16.7502293953281,79,74.0041684602888,69.6759693733718,79,67.1619451386568,56.8865746979507,79,78.3328143702967,77.5796761407019,70,69.1146013852861,68.1783300100514,70,56.0264028481205,39.0381948276719,70,69.5061837109495,69.0075679646731,"SCO"
"NN5527",17,14.2356327880587,11.558233026787,17,9.74087005866275,6.40525889906003,17,16.9171596557005,16.8364248553859,79,65.1427197572055,45.5519365396267,79,68.6121450849093,59.5632999316267,79,78.4039956739352,77.7773738752782,70,67.1056252218045,62.3754849249461,70,62.1171628117591,56.0769012363029,70,69.4989107492461,69.0047007463419,"SCO"
"NN6693",17,16.0077362678617,15.1164578749015,17,12.8313585770343,10.3522286918078,17,16.7385481893623,16.4598632558853,79,61.1428043171238,39.7645898882904,79,67.1360477142387,54.0352386428687,79,78.5466213284058,78.0886397061303,70,68.9400810075746,67.6567522888862,70,62.1079326086729,53.8779364053545,70,69.6270093930306,69.2701394436857,"SCO"
"NN7911",17,16.5948227356223,16.178919233196,17,12.1701963032367,8.52481473158279,17,16.9436110856447,16.887591724167,79,73.1226815337757,65.8796834820021,79,70.2022458512053,62.5904574942181,79,78.5300365930996,78.0439900222449,70,68.7757291790915,67.2908445700004,70,59.5082655004406,49.2891406537438,70,69.4727053544565,68.9349698138846,"SCO"
"NN8369",17,15.2282103679262,13.388364916281,17,3.04977396913894,1.67562377193421,17,16.8756012115195,16.7534517112261,79,74.8210964176541,70.7123942609875,79,65.1679567366959,52.6899642127819,79,78.1627465859562,77.3308149852289,70,69.4384809475988,68.8588908089747,70,61.7947137123183,53.724636789643,70,69.5905019973963,69.1931822641405,"SCO"
"NN8664",17,15.1803434854189,13.6280193910115,17,9.32525599878667,5.60276351693349,17,16.9140257954386,16.8273361471156,79,73.4505859429656,68.5857135244715,79,69.9634245438736,61.740816720239,79,78.4021318954054,77.7857820727992,70,69.0628552886085,68.1594737286997,70,55.261095583664,43.1594515445801,70,69.6244211513004,69.2611183460208,"SCO"
"NO7495",17,16.3406340312382,15.6361986874175,17,14.7776981366124,13.4925763980404,17,16.9224661806738,16.8454643966605,79,74.1840078992166,70.0346352396489,79,65.3751369618711,53.3311191469649,79,78.5966855761387,78.1982392619064,70,69.2951544099173,68.5652201525745,70,60.3386550977333,52.4195653710529,70,69.6621671624354,69.3303968006558,"SCO"
"NS2366",17,16.6972901122353,16.3864612095012,17,13.5769217324189,10.7177966674248,17,16.9050826859472,16.8033416763692,79,69.6234605298275,58.5799600914205,79,65.1905530940418,50.045796781492,79,78.3524602760631,77.7157103940267,70,69.0706208878838,67.9469890285489,70,59.6664246454974,51.0928288845445,70,69.462105210745,68.8885931513496,"SCO"
"NS4085",17,16.5132215482306,15.9596072611076,17,9.33401648626433,6.41550604619419,17,16.8889978863097,16.7776158236895,79,72.4060384057984,65.8550461082577,79,67.7267933550227,55.8533258489348,79,78.6373616591372,78.2713826592178,70,69.3384032745811,68.6542216232007,70,62.2593147879472,55.6298836241919,70,69.3158170643299,68.6175037402321,"SCO"
"NS5873",17,16.6074743139456,16.2216978928894,17,9.74980155599465,5.54804928583142,17,16.907011068483,16.81351864174,79,79,79,79,53.6858315253586,34.3951831929527,79,78.3678640432146,77.6895401325382,70,69.2214270343669,68.385767712845,70,60.0175093781361,50.9605807428099,70,69.6496698080487,69.2942222046004,"SCO"
"NS9052",17,16.116482973836,15.2031780706932,17,12.6545296970509,9.82164529033965,17,16.9313933014916,16.8589670259251,79,66.8106862476484,54.2307773825556,79,72.2903177623068,65.9597472930383,79,78.6078485887573,78.2234080621354,70,69.4911676985393,68.9789491519033,70,62.329192080388,56.3329957204859,70,69.5551008991464,69.1170622798144,"SCO"
"NT2023",17,15.3115546755991,13.7042911599285,17,7.14958382286329,4.12896895373716,17,16.8771361740651,16.7585533960862,79,72.8484409218547,65.9284777009892,79,63.7108934254936,51.6752481666885,79,78.4793179017935,77.9442228525108,70,69.3140626782437,68.5919854943943,70,55.4889467474278,45.2734094329603,70,69.4548501469807,68.8742449259331,"SCO"
"NT4470",17,16.8170540886668,16.6232760334052,17,10.8092995604444,7.91355616503181,17,16.8968006928102,16.797020628175,79,66.869817513126,48.8690351102144,79,63.8006762261697,51.3769155857679,79,78.2192986527458,77.4302349892718,70,69.2053587603993,68.3671856691564,70,57.9589209705185,48.4054068766907,70,69.6758955274249,69.3585429226167,"SCO"
"NT5824",17,15.6049078683924,14.1228104295787,17,14.6588837658066,12.4158037266204,17,16.9542260535857,16.9085484128336,79,73.8877262202574,69.3329439734138,79,68.6497543219783,59.899332977569,79,78.4748774187125,77.9597912259749,70,68.1823058603396,65.4497404051616,70,61.1485402887003,54.3750029379264,70,69.5508917311921,69.0993166123643,"SCO"
"NX8392",17,16.4356748771627,15.8765023724543,17,5.62685869244844,2.8739650630216,17,16.8888959760012,16.7802169991419,79,75.8677963430825,73.1817072368802,79,69.0625164747404,60.3062447900717,79,78.4426567252978,77.8829442888339,70,69.5830637391309,69.1585374141296,70,58.9826566876755,49.5296843756208,70,69.5748361599466,69.1456215988789,"SCO"
"SE1582",17,11.3301337819709,6.63482594604587,17,3.02110238386844,1.66221137678306,17,16.845753464494,16.6939017557494,79,74.5434814526475,70.3091150366854,79,71.6580507536813,65.7614767844503,79,78.3048029017436,77.5993555551908,70,65.8104699554926,60.2861504123015,70,55.4905843154569,41.9990086614491,70,69.6573396490353,69.3152125728231,"ENG"
"SE1845",17,5.39836786222074,2.83266755207973,17,13.7903780688165,11.9524695916763,17,16.6551563901106,16.3136671240214,79,72.2250821946915,63.1669808132174,79,71.7244489048819,63.9024914437369,79,78.5401468379773,78.0757001027227,70,69.3361457617653,68.6940509773326,70,59.1850805207184,48.9719459328562,70,69.5490487579874,69.0917479092784,"ENG"
"SE1867",17,11.770058681195,7.29107917494403,17,3.6561866456162,1.90200718628672,17,16.8950868242432,16.7860820672463,79,69.8656982506384,58.1548268577855,79,71.8159934850148,65.3821266719346,79,78.591229914069,78.1814094052878,70,64.7959365434071,54.0586008594419,70,64.03468711474,59.3148575712933,70,69.5510134951858,69.0821825561322,"ENG"
"SE9023",17,10.5673696583311,7.16113315741841,17,12.702370989508,9.80321889515078,17,16.7951834629495,16.5948122899235,79,60.2324814964072,32.4918413556481,79,70.9834662062699,63.6503540558019,79,78.4835224165087,77.9684487052692,70,66.1093270099282,59.9834783778611,70,55.5129144325654,42.1980317889571,70,69.376605142189,68.7688210925606,"ENG"
"SH4072",17,16.5507111340212,16.1119185727398,17,11.1277639716542,7.8964729453059,17,16.8885264232208,16.7763369613987,79,76.4242148254647,74.6415750057178,79,71.9182263415107,65.0134433679281,79,78.1939969194126,77.3782110044254,70,68.8169081058815,67.3988528350365,70,57.8400449141554,46.7599041998573,70,69.610082744875,69.2314138520876,"WAL"
"SH4866",17,11.774974641025,7.29069230661442,17,7.16419289677656,4.73474713767672,17,16.9163077799418,16.8298206960186,79,73.4312782554885,68.2058155017248,79,69.0321504447003,60.2176106247163,79,78.3190101231857,77.627465464785,70,68.773752415976,67.2742300186172,70,61.3162415110215,52.0320923712896,70,69.5796544751657,69.1565072888937,"WAL"
"SH5924",17,16.4493265869947,15.9372419068102,17,13.2252449293558,11.0640455498965,17,16.8578672025299,16.7150761128412,79,74.279518039087,69.6653113569909,79,71.7450605763696,65.8829406098656,79,78.5139235535729,78.0282978937393,70,67.3961336203797,63.8987010332971,70,59.7906629193745,48.5545407889017,70,69.6142282353554,69.2400314550899,"WAL"
"SH7038",17,15.4915095745925,14.0111803991484,17,8.74360367481471,5.39414856027717,17,16.8753033962515,16.7456639280843,79,73.7814328148394,68.1979714493937,79,68.0327744999363,59.4935548340072,79,78.3515767081245,77.6928926837515,70,69.222007733485,68.40018924861,70,60.496171906136,52.9869454623998,70,69.6499982029019,69.3109487046352,"WAL"
"SH7148",17,13.2136273909172,10.1742123095772,17,3.43560870126072,1.80444862474424,17,16.7584775212813,16.5188427848528,79,75.4963836354378,72.4942336524482,79,73.8058815562184,69.1177742486175,79,78.5818363771076,78.1734568208253,70,69.5511620652307,69.0952135875221,70,56.9582680400104,42.1909014825537,70,69.585623785084,69.1791078609106,"WAL"
"SH8170",17,13.6201658471758,10.5999925001181,17,12.3806329099907,9.9711603920832,17,16.8663008330343,16.7340880137269,79,72.384998188491,64.5818812721097,79,70.3397387436424,62.7532130295726,79,78.3642024910407,77.7409742138917,70,68.6340799760119,67.1514734954063,70,61.2502443394751,54.9181070187533,70,69.6483657992718,69.2971934837031,"WAL"
"SH8207",17,15.8759003838621,14.6391379988232,17,11.7093181563236,8.77826234614718,17,16.874924356424,16.7403068430051,79,75.2142856560339,71.4696057236933,79,71.6740302284107,65.049750674393,79,78.5324562897624,78.0576261019444,70,67.4411825126088,64.156952535474,70,54.5967627807653,40.4841524805455,70,69.5711927164669,69.1350839274929,"WAL"
"SK0484",17,15.752629603487,14.615380455664,17,15.0189955080417,13.3850477293304,17,16.8805715228147,16.7620955563254,79,64.374407862007,45.5212979233896,79,64.6057840891561,47.9830800189434,79,78.5926260054232,78.1910853211039,70,68.478139204331,66.669341285885,70,59.3782257220911,50.4457752317148,70,69.513543519265,69.0191793869038,"ENG"
"SK1590",17,9.20443382080779,4.77629056579122,17,3.831581266164,1.97731616535975,17,16.7875330217209,16.5909647791367,79,67.336257570537,50.3730057503697,79,67.6811979207648,57.0129258663374,79,78.4422752925464,77.8770698017277,70,41.2581616633182,13.9008599179471,70,42.8202710397435,18.5461725194661,70,69.6038974496666,69.2123125534782,"ENG"
"SK2557",17,10.8460403719595,6.63396807027219,17,13.3610230756295,11.4072296563059,17,16.8774293717665,16.753106345057,79,71.5681036009236,62.9101848116402,79,66.7517642800737,54.9865093798214,79,78.373677916974,77.719327734998,70,67.4781328623217,63.9735917388759,70,59.6299489247265,49.6395348555206,70,69.585576712183,69.1648385459713,"ENG"
"SK4706",17,15.6310141131054,14.2945220030655,17,13.8038496330054,11.4112232651217,17,16.889168082347,16.7756657626806,79,47.366492890092,17.2185909367516,79,67.8289185393372,52.0897467269223,79,78.4589180001659,77.9152177666799,70,66.5199145238799,60.2412994180058,70,58.4248481592255,48.0842611359241,70,69.5911974455075,69.1749160152745,"ENG"
"SK5480",17,6.90871415815819,3.40289537879562,17,13.2559135334423,10.9220435146801,17,16.704277650521,16.366884192124,79,75.6872562712354,73.3879314559944,79,70.4171270852627,63.1212000567757,79,78.5741417839747,78.1478799203959,70,66.4528160686855,62.0546407093633,70,55.1243323152055,44.3357684588852,70,69.5745147732992,69.1406650828448,"ENG"
"SK9826",17,3.70109989914958,1.83836317724169,17,10.9419510536828,8.2296470764042,17,16.7911489611128,16.5955331925412,79,72.4513233815969,65.2543268196257,79,66.7886884111134,54.5706393314341,79,78.675563598101,78.3579309765697,70,66.9375844885318,61.9657626121139,70,59.1589939981438,50.2198806734092,70,69.5585897344034,69.1205465241779,"ENG"
"SN0732",17,15.2676787989846,13.1568074384603,17,12.7403465759318,10.5537431969324,17,16.8946274296512,16.7936199098855,79,54.5652341753774,34.390138829558,79,65.7730539809354,55.5578395351462,79,78.5031133773037,78.0259523077791,70,68.3060832961622,66.1693692283345,70,51.0931934218331,34.9561321362432,70,69.695054991441,69.3911855615474,"WAL"
"SN6098",17,16.115051097512,15.2860605462886,17,13.9733541458618,12.1742905116659,17,16.9188587504956,16.8401984279297,79,71.0156593379749,59.0755025072811,79,67.75704025796,57.4841131232765,79,78.3923824547153,77.7858044300678,70,69.3976358093773,68.7665308494656,70,61.2525069916026,53.4149035588152,70,69.5285708652768,69.054440650274,"WAL"
"SN6185",17,12.2740391258063,8.39197771085842,17,13.2509028298693,11.0516497257579,17,16.631898301093,16.2382541457653,79,66.4924126494446,50.9555257078755,79,71.3358638627305,64.7896462039261,79,78.4082752601229,77.8115907430785,70,69.1209794887201,68.1566867314499,70,59.2406400438858,49.7125068604821,70,69.5531449504211,69.0947542733633,"WAL"
"SN6634",17,10.5770988424636,6.26496914043706,17,13.295655946705,10.706339126268,17,16.8553627116091,16.7188781572895,79,21.5127266338126,5.89826528175768,79,69.4562603259387,58.7120767542382,79,78.6252798797346,78.2388165806416,70,64.5544050949537,57.7772066248346,70,24.7992484382745,7.23691859824298,70,69.6577945752221,69.3163488073893,"WAL"
"SN6777",17,15.0872691513649,13.0197158886075,17,13.4893724369725,10.6688320461366,17,16.8890322348268,16.7735462834036,79,70.3369957782564,60.608017330397,79,70.7929706136796,63.6742098878176,79,78.0383972264609,77.015250091042,70,69.3162123167867,68.5856224890866,70,61.3560095008188,53.8434687148396,70,69.5553733326655,69.1091022411734,"WAL"
"SN7659",17,13.1055631330774,9.95364971029264,17,8.67743049166235,5.43509438078683,17,16.8105514971252,16.6218544449162,79,71.4603867280713,64.9783577348928,79,68.417461442981,59.8822715786258,79,78.4366837927148,77.8583232254022,70,69.148257748399,68.3306700233504,70,59.6856808080614,49.4123389139273,70,69.5735839710018,69.154149186499,"WAL"
"SO1474",17,15.248285137251,13.5291264161505,17,13.7897408373882,12.0346268652732,17,16.8797744409147,16.7621214849391,79,73.7496398750294,67.9011792882743,79,72.7927451266735,67.3394421407538,79,78.3514723669477,77.6841948457058,70,68.9538839997822,67.8057556569762,70,59.65351736026,50.7987951075071,70,69.637878813761,69.2741013744378,"WAL"
"SO2568",17,10.5711687975113,5.98741645957841,17,14.3584633274188,12.9768495359381,17,16.8851710725544,16.7717956607879,79,55.2879355004567,26.3257475003706,79,66.6838698165286,54.3716434243329,79,78.6469756833039,78.2939716886529,70,66.3571858703497,61.8015166061773,70,48.5137142250113,32.722466566564,70,69.617073807791,69.233225939313,"WAL"
"SO3129",17,15.2387044652028,13.3316931828185,17,11.0433319553907,8.13018888223935,17,16.8356298975648,16.6765130051504,79,45.5500688464483,17.6630061763231,79,63.4278167338339,44.1324077234075,79,78.6917200512886,78.381883465447,70,62.2651581600184,46.3787611239043,70,50.5483213567898,28.7790986851969,70,69.6426442680345,69.2922559438493,"ENG"
"SO4718",17,15.4115528730337,13.953033931582,17,9.1476614161946,5.375206893247,17,16.8334042057462,16.675409564389,79,57.5465944862886,35.5955970930079,79,66.6585151505987,51.2199153533753,79,78.5300306912614,78.0458309757724,70,66.0387302658439,61.5394715826495,70,56.2270932628425,45.0995304258175,70,69.4157582679508,68.8196538669527,"WAL"
"SO6087",17,7.42546150858733,3.5620116463632,17,10.5082404182106,6.82614189158657,17,16.3610331129238,15.7969655677003,79,74.7688042140016,71.8565869693305,79,71.9687657668337,65.8480770050053,79,78.3158628852457,77.6051140312595,70,65.1479456475918,57.0209658445695,70,60.7025646412872,51.2819887494396,70,69.7245430204677,69.4447942115401,"ENG"
"SO8911",17,2.100383195716,1.32152421973605,17,11.953021324587,9.63651180457901,17,15.9639344439182,14.9525456895336,79,74.3515721119921,70.1663325298077,79,70.2121158961075,62.3007470331917,79,78.3901043404903,77.7349371200738,70,67.290890134422,64.0129279213306,70,61.2246249229264,54.172752876111,70,69.6623063068805,69.3193719379586,"ENG"
"SP1430",17,3.64983786931704,2.46094919972113,17,8.73820596576918,5.21191264720522,17,16.2905592590964,15.4689852711428,79,65.1971452938923,41.522899966788,79,63.7635817597336,45.0139394252278,79,78.4538116503474,77.9049833233228,70,67.8904974794424,65.1879493633912,70,61.03148141035,52.9648315518488,70,69.627963203255,69.2629056654919,"ENG"
"SP4951",17,15.7425044253576,14.3877549327607,17,8.5196748986128,5.19627574061569,17,16.9083229639956,16.8173151836413,79,68.7163794458861,58.2305920647372,79,68.9318840563552,58.9151596850511,79,78.4409017042378,77.8948971699301,70,67.7715503766417,65.188173241026,70,59.183574688104,50.8457415877407,70,69.597698487845,69.200409783225,"ENG"
"SP6302",17,14.5063204910857,12.2857589669471,17,11.4603086662839,8.26154792858127,17,16.9055510896565,16.8127673778285,79,59.404318027684,34.3217441023049,79,71.5374340440313,63.2449687115402,79,78.39975947129,77.8054341664553,70,68.9101259729132,67.6129974961699,70,57.9307862987012,44.6387508578464,70,69.6048398996254,69.1955829970745,"ENG"
"SS8395",17,14.8869043063017,12.4975848413467,17,11.2170715899879,8.45936936340512,17,16.9229801573897,16.8421914151308,79,67.537578125008,53.7560895801527,79,67.3838762068043,54.9398461857588,79,78.3303865807705,77.6769831579553,70,69.3093426663368,68.5841259808756,70,61.3607043091276,54.1158787900395,70,69.5932373107299,69.1894104447743,"WAL"
"ST2636",17,7.10108309119815,3.44494539029886,17,12.1497630789909,9.47121012128207,17,16.79734186344,16.5936522432047,79,69.7685441961005,57.4576497151362,79,71.7868145907212,64.9058949794416,79,78.505812908882,78.0098909082385,70,66.522608671263,62.4101337324317,70,54.6518427220889,40.9804504720108,70,69.5438779861548,69.1059001087416,"ENG"
"ST2983",17,15.8785235603892,14.729554053321,17,14.2823724653205,12.3528749359795,17,16.9250123075065,16.8519070160271,79,54.750281553696,31.0014193386793,79,68.5282214214298,59.0762386316974,79,78.4938326130439,77.9912618846417,70,69.4006125778046,68.8159279833943,70,57.963343792258,46.5087055113033,70,69.5731101402916,69.128346296705,"WAL"
"ST4543",17,12.0317071585612,8.63695658384414,17,12.4681964676306,10.0966015025913,17,16.7631044367414,16.5257849135968,79,17.3395683076414,4.10861164394679,79,71.2787444281407,64.6278686088791,79,78.2820476342046,77.5431943651653,70,43.5801740142735,15.7424344481797,70,39.3688703392345,16.3047209429733,70,69.5257954995459,69.0342664701613,"ENG"
"ST9351",17,14.8886706224263,13.0550435730248,17,12.7646630041099,10.3189062355977,17,16.7755706347685,16.5462822582815,79,73.208439142444,64.3000476703,79,70.0540919530124,61.9051995125814,79,78.2968084440007,77.5910662030938,70,69.0973151470456,68.2114100533288,70,59.7033010450091,50.9947588164846,70,69.5780022672375,69.1678391488027,"ENG"
"SU1466",17,11.410473483731,7.93356938545148,17,11.984217298719,8.80342618934769,17,16.6488499984784,16.2935452093742,79,70.8521329779646,62.0870485485357,79,68.7904129691526,59.4939314401607,79,78.4805967425939,77.9721037814445,70,69.3557800749615,68.6498271318843,70,60.8384138841011,52.7454520507716,70,69.600921743602,69.202681655369,"ENG"
"SU3986",17,9.76814218252089,6.78300964670482,17,11.1388831667027,7.93571346422638,17,16.6918960856735,16.3446905739433,79,74.4576389686573,69.3740776249504,79,74.0255349003459,69.1571216210733,79,78.5553444914784,78.1135734153971,70,68.2122609536641,66.0012631223504,70,59.0845496019199,50.0158472363644,70,69.6011293918167,69.2010813520785,"ENG"
"SU6679",17,13.2555498483329,10.2295956354337,17,15.1090111129716,13.7180296736841,17,16.8733512388979,16.7450600241488,79,59.9878774882591,36.3116250620074,79,58.3273102018948,36.0299409255405,79,78.450662348475,77.9091807925391,70,67.9215072647546,65.3440587656822,70,58.8188470073007,49.8287569610997,70,69.5869576975835,69.1721897817397,"ENG"
"SU7800",17,5.17591291093173,2.45601096383784,17,12.0921988746375,9.77841005839935,17,16.9544220672432,16.9084793023898,79,55.0144620376658,24.9954780959084,79,68.85492166281,59.9145540629374,79,77.922844198237,76.675633040785,70,69.1694840743145,68.3779017706304,70,56.2972961609423,41.491047405229,70,69.5121364410311,69.0183667962851,"ENG"
"SX7048",17,13.4684702233093,10.1816931988873,17,14.3477298995471,12.3128872004913,17,16.9109560045483,16.8194139617061,79,66.8279469670794,48.1671734847706,79,73.0095187125212,67.4617986588837,79,78.4530585346307,77.9088591226298,70,68.9768155363863,67.8902277072851,70,61.248692662828,53.2413581376725,70,69.6367616526444,69.2694984007655,"ENG"
"SX8144",17,5.53355491634847,2.62118775741086,17,12.5215179281491,9.16031871502756,17,16.7432225572907,16.5016235585768,79,62.4082387102299,43.7883396859304,79,65.7740849975888,53.8151028051176,79,78.6956267113436,78.3920563343071,70,67.9603420665445,65.4633879904526,70,59.5187606177087,49.5065289841953,70,69.5526202294093,69.1177934016582,"ENG"
"SY8586",17,7.66369654345888,3.82467573207189,17,5.03905609045612,2.52150616897837,17,16.5036649448669,16.0247960765034,79,71.0760317877343,60.3265290998153,79,72.0018622779566,66.0286444126228,79,78.3304795847042,77.6839130238803,70,66.632531180644,60.8907110053658,70,56.8428428431314,43.2922221628621,70,69.6736349330381,69.351346361276,"ENG"
"TG4403",17,12.5979146670396,8.4653043062259,17,13.2505567244407,10.7724571818997,17,16.8617547152548,16.7169236713081,79,53.5945789977431,24.3967096589541,79,69.1693669904464,59.0193074346585,79,78.6198946455664,78.250151147661,70,69.1633369996097,68.2185146894884,70,61.6628188089918,53.8673956958804,70,69.5248720800575,69.0335328261355,"ENG"
"TL3266",17,8.51164595348136,4.34486495357789,17,15.0416926976654,13.7382196364287,17,16.8746773514595,16.7437852012535,79,41.1998657612888,12.7124357854783,79,69.7767399969464,60.9675466279155,79,78.448381876129,77.8784017040895,70,68.6148514391169,67.0323943960239,70,61.2604676048045,54.1553314059237,70,69.645866730215,69.2847782778435,"ENG"
"TM3949",17,15.04691199634,12.699967827669,17,3.39263571996888,2.39731347013034,17,16.8096875875937,16.6046112726675,79,6.16698583195357,1.95006644358857,79,62.4941333669696,45.9916271776991,79,78.351111540997,77.6801707575198,70,58.2274601265155,36.4092454600277,70,53.9373998019657,36.0295387245396,70,69.5780686724051,69.1562413995987,"ENG"
"TQ1827",17,15.9672388139082,14.8145383557938,17,12.6829318328458,9.83455461950764,17,16.9516209264665,16.9042692388302,79,71.8153242326577,64.7029397757733,79,65.6044348956462,52.1127861449054,79,78.2073011464121,77.4010443185316,70,68.8322974782732,67.6343957001334,70,58.2088019585275,47.5665235831037,70,69.4668652879541,68.9280517329136,"ENG"
"TQ3110",17,16.7319728320349,16.4712415149757,17,7.7323080749505,3.86878727609291,17,16.8902849996222,16.7824602463687,79,71.666554382968,62.5316082411042,79,69.3740016366301,60.8828020347093,79,78.4117926169619,77.8248559772865,70,68.2295031141877,66.3687739333098,70,60.260991490893,52.7445465244938,70,69.5405039738411,69.0800427738762,"ENG"
"TQ4450",17,11.7251051646559,7.2862111127942,17,11.8394555213634,9.2094329725467,17,16.9109709610351,16.8237265721312,79,56.443537008288,27.4863275560777,79,69.9305863629783,62.2264589188996,79,78.5388820579151,78.0590969006832,70,68.0749789049669,65.2495752068862,70,61.985173221739,54.9838924870211,70,69.5494014591059,69.1198480307489,"ENG"
"TQ8038",17,7.26334679058784,3.65726349382327,17,11.3719383470265,8.54416839970653,17,16.8359164421688,16.6676785447981,79,71.4502752704558,62.8724590276873,79,71.8410020619517,66.3271003863399,79,78.1972405736541,77.3941223450635,70,66.2512641163697,61.9655372737647,70,56.8784081805181,45.310526821274,70,69.5258076836222,69.0361931878527,"ENG"
"TR0534",17,16.4552172040631,15.9189851502807,17,13.4404001221167,11.4019075926636,17,16.8705171859379,16.7433721769715,79,26.718574421637,6.34206883958435,79,66.2540468438288,54.2518016479196,79,78.6483821984695,78.3043149970383,70,62.0685964314708,50.6240807011284,70,54.1364192537642,39.3717913647764,70,69.6570771735726,69.3256440522496,"ENG"
"TR3149",17,2.75227969851565,1.64324167570369,17,13.1412663069074,10.6596718310094,17,16.6214610831011,16.2376250832498,79,75.3695922564621,71.8993667736784,79,72.348758039154,63.6431122469832,79,78.4829363598649,77.9704691671835,70,67.4259731922101,63.8334335424808,70,58.3103195228709,48.8629368335814,70,69.6299709219478,69.2672184788474,"ENG"
